City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,Kapaa,75,US,broken clouds,69,22.08,-159.32,80.6,0.0,0,17.22
1,Rikitea,100,PF,overcast clouds,81,-23.12,-134.97,75.38,0.0,0,18.25
2,Butaritari,100,KI,overcast clouds,84,3.07,172.79,80.56,0.0,0,17.58
3,Leningradskiy,11,RU,few clouds,57,69.38,178.42,47.28,0.0,0,5.35
4,Katsuura,62,JP,broken clouds,63,35.13,140.3,84.0,0.0,0,5.01
5,Antofagasta,40,CL,scattered clouds,87,-23.65,-70.4,57.2,0.0,0,4.7
6,Tuktoyaktuk,90,CA,light rain,87,69.45,-133.04,42.8,0.0,0,10.29
7,Codrington,23,AU,few clouds,67,-38.27,141.97,57.69,0.0,0,14.52
8,Nanortalik,100,GL,light rain,92,60.14,-45.24,38.68,0.12,0,12.82
9,East London,0,ZA,clear sky,31,-33.02,27.91,66.9,0.0,0,10.69
10,Sivaki,100,RU,moderate rain,94,52.63,126.75,57.51,2.86,0,8.39
11,Lucapa,0,AO,clear sky,49,-8.42,20.74,56.39,0.0,0,4.25
12,Albany,72,US,broken clouds,85,42.6,-73.97,75.99,0.0,0,3.11
13,Atuona,84,PF,broken clouds,75,-9.8,-139.03,80.29,0.0,0,14.2
14,Busselton,0,AU,clear sky,68,-33.65,115.33,55.99,0.0,0,4.0
15,Mahebourg,75,MU,shower rain,73,-20.41,57.7,71.6,0.0,0,14.99
16,Port Augusta,46,AU,light rain,45,-32.5,137.77,62.6,0.14,0,16.11
17,Sao Joao Da Barra,56,BR,broken clouds,91,-21.64,-41.05,71.56,0.0,0,10.67
18,Arraial Do Cabo,0,BR,clear sky,81,-22.97,-42.03,71.83,0.0,0,9.31
19,Ponta Do Sol,75,PT,broken clouds,72,32.67,-17.1,68.0,0.0,0,6.93
20,Isangel,40,VU,scattered clouds,69,-19.55,169.27,78.8,0.0,0,9.17
21,Avarua,56,CK,broken clouds,60,-21.21,-159.78,73.4,0.0,0,8.05
22,Thompson,90,CA,light intensity drizzle,93,55.74,-97.86,46.4,0.0,0,10.29
23,Warrington,14,GB,few clouds,87,53.39,-2.58,53.6,0.0,0,9.17
24,Muros,63,ES,broken clouds,92,42.78,-9.06,60.01,0.0,0,3.62
25,Martapura,98,ID,moderate rain,90,-3.42,114.85,79.43,3.93,0,3.24
26,Waipawa,100,NZ,light rain,91,-41.41,175.52,57.99,0.17,0,10.69
27,Vardo,100,NO,overcast clouds,76,70.37,31.11,44.11,0.0,0,15.19
28,Iqaluit,75,CA,broken clouds,86,63.75,-68.51,37.4,0.0,0,8.05
29,Nyagan,100,RU,overcast clouds,64,62.14,65.39,51.33,0.0,0,8.19
30,Hilo,90,US,overcast clouds,61,19.73,-155.09,80.6,0.0,0,9.17
31,Rovnoye,0,RU,clear sky,76,50.78,46.05,63.91,0.0,0,7.61
32,Vana-Vigala,78,EE,broken clouds,92,58.78,24.25,64.0,0.0,0,1.01
33,Nikolskoye,20,RU,few clouds,77,59.7,30.79,60.8,0.0,0,13.42
34,Bredasdorp,26,ZA,scattered clouds,87,-34.53,20.04,57.2,0.0,0,5.5
35,Barrow,1,US,clear sky,70,71.29,-156.79,42.8,0.0,0,8.05
36,Ust-Nera,0,RU,clear sky,27,64.57,143.2,81.36,0.0,0,5.41
37,Bonavista,100,CA,light rain,95,48.65,-53.11,44.08,0.33,0,8.88
38,Kaitangata,66,NZ,broken clouds,81,-46.28,169.85,48.0,0.0,0,5.99
39,Shimoda,75,JP,broken clouds,69,34.67,138.95,77.0,0.0,0,9.17
40,Bereda,25,ES,scattered clouds,100,43.27,-7.54,57.0,0.0,0,1.77
41,Tasiilaq,100,GL,overcast clouds,83,65.61,-37.64,37.76,0.0,0,4.85
42,Yumen,100,CN,overcast clouds,15,40.28,97.2,83.28,0.0,0,1.16
43,Lavrentiya,0,RU,clear sky,40,65.58,-171.0,55.58,0.0,0,15.17
44,La Ronge,90,CA,mist,93,55.1,-105.28,42.8,0.0,0,8.05
45,Faanui,2,PF,clear sky,73,-16.48,-151.75,80.44,0.0,0,1.97
46,Upernavik,23,GL,few clouds,72,72.79,-56.15,39.47,0.0,0,6.69
47,Pervomayskiy,0,RU,clear sky,88,53.25,40.29,62.49,0.0,0,6.06
48,San Patricio,2,MX,clear sky,68,19.22,-104.7,78.8,0.0,0,1.97
49,Klaksvik,99,FO,overcast clouds,100,62.23,-6.59,50.0,0.0,0,18.34
50,Fort Nelson,75,CA,broken clouds,39,58.81,-122.7,80.6,0.0,0,2.24
51,Marsh Harbour,100,BS,light rain,84,26.54,-77.06,80.31,0.34,0,8.95
